sentence,english_translation
Bangladesh won't be able to blame no ball to Rohit Sharma #AsiaCupT20Final,Bangladesh won't be able to blame no ball to Rohit Sharma #AsiaCupT20Final
ohh that evil grin !,oh that evil grin !
"Anushka ki :D

RT @dashhtweets: Kal Kohli kisiki maarega","anushka's 

retweet @dashhtweets: whose will kohli hit tomorrow?"
@zoomphatak :=D Ye laga chauka!,@zoomphatak this is four!
RT @BeingSalmanKhan : Te Marjaava Te Marjaava Te Marjaavaaaaannaa https://t.co/rqOdxKZ8Wt,rt @BeingSalmanKhan : will die for you will die for you will die for you https://t.co/rqOdxKZ8Wt
Force 2 dekhne ke paise nahi the#DeMonetisationSavesLife,There was no money to watch Force 2 #DemonetisToWesLife
@Insane_chorri jiske liye sudharna tha.. Wo chhod ke gayee @tweeting_pal @TheDilliMirror,@Insane_chorri the person for whom you were supposed to change has left you. @tweeting_pal @TheDilliMirror
"Ice cream khaungi, kashmir jaungi, garmi se phatti padi hai piya. haah haah.",i will eat ice-cream and go to kashmir for a tour in order to tackle the scrotching heat
@Neelkhan0209 @QuidEAzam1948 @NasimZehra tu kholi KANTAY laga kay khela tha demagh se khela tha chawalien nahi marien us ne and INDIA win,"@Neelkhan0209 @QuidEAzam1948 @NasimZehra Kohli played the game using his mind, he did not played over-confidently and because of that india won"
test dene ke baad test copies rakhne ke bahane staff room mai jane ka mauka milta tha  .  .  .  :d,Keeping the test copies after the exam gave us an excuse to visit the staff room.
@ImRaina Chat session kab hai ... Is baar mujhe miss nahi karna hai .... #AskRaina,@ImRaina when is chat session?. i don't want to misst it this time #AskRaina
"Jo Apne Channel ke na huay, wo kisi party ke kya honge?pic.twitter.com/yNmddB1mOB","who do not belong to their own channel, how will they belong to any party? pic.twitter.com/yNmddB1mOB"
hahahha:):) sharma ji ka honhar balak:):) saurabh sharma,briallint sharma ji son hahahha saurabh sharma
bring it on cd signing and performance event w @someUSER tomorrow at 300pm .  barnes and noble on 86th and lexington in manhattsn:-),"bring it on, cd signing and performance event with @someUSER tomorrow at 3:00 pm. barnes and noble on 86th and lexington in manhattsn:-)"
Aaj ek Film Ytube pe dekh lu ..,let me watch a film on YouTube today
@jdshastri26 namak halal hai na ye :) @sardesairajdeep,@jdshastri26 Is he loyal? :) @sardesairajdeep
@retardedwriter ajjab aadmi hai,@retardedwriter he is a wired man
Bhai ap nai ayenge tab-tak natural call bhi accept nai karunga??,i won't accept even natural calls until you don't come.
Jaldi hi #holi pe ban lagane wale hai,very soon there is going to be a ban on #holi
hey bhagwan ...yeh movies bachcho ka satyanash kar rahi hain ..:-o :o,oh god! these movies are deteriorating the minds of children!
@prasanto @DarrKeAage @SriSri @msdhoni abhi abhi cricket dekhna suru kiya hai ! Ya kabhi dekha nahi ! Get involved . Be the reason for win .,@prasanto @DarrKeAage @SriSri @msdhoni has just started watching cricket! or never seen! get involved. be the reason for win.
@Miss_Ankiita @Shahrcasm mujhe lag raha hai ye @BloodyKamina ka hi account hai,@Miss_Ankiita @Shahrcasm I think this is @BloodyKamina account
@Ra_Bies LOL @akshaykanitkar tumko rabies ka ishara samaj hi nahi aaya,@Ra_Bies LOL @akshaykanitkar you did not understand the wave of rabies
"Dad: There are no shortcuts to success. 
Son: Par red light ke pass waali gali se ghar jaldi aata hai.
D: Isiliye Sharma ji ka beta pass hua","Dad: There are no shortcuts to success. 
Son: but dad we reach home quickly from the path near red light.
Dad: this is the reason why sharma's son passed."
@Bipolar_BaBa haha man ! Reply main bhi troll ,)
@MeeratTariq1 hasso mat yaar .. bahut dil se maangi thi ye dua ! Sirf ek fawad chhaiye mujhe .. not too many ! :-),@MeeratTariq1 please do not laugh .. asked for this wish from my heart ! I want only one favor .. not too many !
can't wait to hear tomorrows cmag meeting about horny (coni ) report .  baages wait &amp, watch you will be grilled tomorrow  !  cmag a hope .
awsum .  .  .  .  .  last one i was like guddu during my school days .  .  .  .,"awesome, last one i was like guddu during my school days"
kaha hai aap bhai#salman.....#juma mubarak ho......,where are you brother #salman.....congratulations on #juma ....
"Yo Yo Honey Singh: Upar upar upar upar upar upar in the air..

Ashok Dinda: ok",Yo Yo Honey Singh: high high high high high high  in the air.. tu apne manifesto ki chinta kar .  .  .
just added a google+ hangout to the schedule--see you on november 21 ?  !  details here: http/URL,"just added a google+ hangout to the schedule, see you on november 21?details here: http/URL"
"@MyCricWin abhi jadeja , ashwin aur shami ko hai jaadu dikhana let's have #worlcupdobara","@MyCricWin now jadeja , ashwin and shami have to show magic.let's have #worlcupdobara"
"King Abdullah had 30 wives, it's like 'Khud ki shaadi mein Abdullah deewana'.","King Abdullah had 30 wives, it's like 'its like in own's marriage abdullah mad'"
mughe bhi ab tak 6000 rs se jyada ka bal .  mil chuka hai .,i have also got a balance of 6000 rupees till now.
faisal bhai  .  .  ma ka diya hua 20/- ka note 10/- main covert ho gaya guddu ke haath main aate hi ,)
very dhamaka song pichli baar jumme ki raat &iss baar party ki raat wow..party aapki taraf se iss party mehi kick hai...,very blasting song last time friday night & this time party night..party from your side only this party has the kick...
Tuchche #Pakistani apni aukaat dikhaate huye mere against #YouTube video bana mujhe dhamki - gaali de rahe hain 0 Need more #surgicalstrike,you #Pakistani showing their status against me by making a #YouTube giving me a threat - abusing me Need more #surgicalstrike
Matlab hogaya 15 baar khud RT kar ke ye. Shelf life khatam.,i'm done retweeting this 15 times. done with my shelf life
matlab 28 or 29 me se kis din aana hai..,means which days do we have to come - 28 or 29?
@chubbyaa hota hai bhai,@chubbyaa it happens brother
aise manhoos har jagha pe hote hain or wo jab aise score puchte hain toh koi nahi batata .  .  .,"this type of wretched people exist everywhere, no one tells them score when they ask"
@StarSportsIndia yeahðŸ˜‚ðŸ˜‚ #MoukaMouka #IndWins #IndvsSA Dhonibhaiiii we loveeeeeee youuuuuuðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,@StarSportsIndia yeahðŸ˜‚ðŸ˜‚ #MoukaMouka #IndWins #IndvsSA Dhonibrotherrrr we loveeeeeee youuuuuuðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜
ASSALAMALIKUM.....ap ki aesi jo aadhri dowaye hai jo ramzan k sadk puri ho jaye..............RAMZAAN MOBARAK,assalamalikum..may you incomplete wishes be granted in this ramzan. congratulations on ramzaan
@Fussy_Ca jiske saath so.. Usi ke saath utho,@Fussy_Ca wake up with who you sleep.
wonderful show .  .  jaroor dekhiye,"wonderful show, must watch"
@runjhunmehrotra zyada sapne mat dekho,@runjhunmehrotra don't dream this big
"RT @InternetHinduz : "" Sonia ji aap corruption karo , hum aapke saath hain "" @INCIndia workers #SoniaRahulHazirHo https://t.co/o4eO3FeX4g","RT @InternetHinduz : sonia mam, you do corruption, we are with you. @INCIndia workers #SoniaRahulHazirHo https://t.co/o4eO3FeX4g"
padhai kar le placement k baad ghar se udda k le jaiyo....sabr ka fal meetha hota hai ,)
@BUnlimted aur Modi ji ko gaaliya dete hai.. Inhe pata bhi nahi inke achche din kab ke aa gaye @ColdCigar @LEDtvn,@BUnlimted and they abuse modi .. they don't even know that their good days have already arrived @ColdCigar @LEDtvn
"1 cup resham
1/2 kg sheesha
heere & moti for garnishing

Recipe for Kaliyon Ka Chaman.","1 cup silk, 1/2 kg glass, diamonds and pearls for garnishing"
@rohitshahmi07 bhaiya test captain of Aus,@rohitshahmi07 brother test captain of Australia
Journo : How is #RailBudget2015 ? Harsha Bhogle : The two best Bangladesh batsmen are Mushfiqur Rahim and Shakib al Hasan .,journo: how is #RailBudget2015? harsha bhogle: the two best bangladesh batsmen are mushfiqur rahim and shakib al hasan .
to aur kaun karta hai @TimesNow @narendramodi,then who else does this @TimesNow @narendramodi
"@DuttYogi Amazing , Bhai , All the best ! Jeet Hamari hi hai !","@DuttYogi Amazing , Bhai , All the best ! we will win !"
"chalo achha hai, mujhe logon ko rulana pasand hai. huhuhu","it is good, i like to make people cry. huhuhu"
@ThatDelhiDamsel Sahi jawaab Mishri,@ThatDelhiDamsel right answer mishri
koe nie  .  .  .   .  bst of luck fo ua future  .  .  :),"no problem, best of luck for your future"
Hai na? Paap chadhega,i know right? a sinner.
@friendlii_ghost srk fans ko waise bhi aur koi kam dhandha to hota nahi  @Tumharebaap,@friendlii_ghost shahrukh khan fans have no other job anyways.  @Tumharebaap
@MeetUunngLee bol tune kaafi pi rakhi hai,@meetUunngLee tell. you are too much drunk
ye kal ki baat h news channels me bhi aaya h .  ab kejriwal kya iski nomination cancel karega ?  ?,it was only yesterday that it came out on the news .  now would kejrival cancel his nomination ?  ?
the boys are hot !  !  #streakin big win tonight let's do er again tomorrow !  #keepitrollin,the boys are hot!  #streakin big win tonight. let's do it again tomorrow! #keepitrollin
my sis won tickets for the jonas brothers concert @ fort canning on monday .  .  .  .,My sister won tickets for the jonas brothers' concert at fort canning on monday.
"""Poore 5 minute suni maine Rahul Gandhi ki speech.."" ~ Sangakkarapic.twitter.com/LpujNSslLK","""complete 5 minutes i listened to rahul gandhi's speech.."" ~ Sangakkarapic.twitter.com/LpujNSslLK"
jab jaroort hoti h talent tabhi nikalta h .  .  .  .  ,-)
#c.m #yogi ji ka speed dekh kar to #Trump v sarma jaye #u.p,"by seeing speed of #c.m #yogi ,#Trump will feel ashamed #u.p"
@AashuParashar3 @postpickle tabhi toh apna connection wi fi aur bluetooth se bhi jyaada strong hai ðŸ˜‹,@AashuParashar3 @postpickle that is why our connection is stronger than wifi and bluetooth.
@abhi_bol bhai porn kam dekha kar,"@abhi_bol brother, please watch less porn"
Bhai jaan . aa bhi jao ..,brother . come on ..
kaun hai ye> Bahot naam suna hai,who is he heared a lot about him.
pm modi kisi ka mazak nahi uda rahe hai .  .  .  .  .  .  . we to sachhae baya kar rahe hai .  .  .  .  .  .  jai hind .  jai bharat .,pm is not making fun of any one he is just telling the truth jai hind jai bharat
@Insane_chorri Bajrangi Bhaijaan dikhwa ke vida karenge,@Insane_chorri we will bid you farewell by showing Bajrangi Bhaijaan
"if san antonio continues to play like they did tonight with little help from parker in the 1st half &amp; no ginobili ,it'll be a great season !","if san antonio continues to play like they did tonight, with little help from parker in the first half and no ginobili, it'll be a great season !"
Inle bas ki baat nahi hai vishwas dila pana!Ye kewal #Notebandi jaisa disruption hi kar sakte hain jiska result zero hai !,its out of there limit to make someone trust them! they can only do disruption like #Notebandi which gives zero results.
@TheVacuumHead GAUR SE DEKHIYE ISS LADKI KO,@TheVacuumHead look at this girl carefully
sab cheezein bataane ke liye ek alag mahaul hota hai :-/,there is a different atmosphere to tell everything
Sehwag > Shikhar Dhawan + Rohit Sharma,sehwag is greater than shikhar dhawan and rohit sharma combined
@DrShobha Maam mausam achcha hai.. To socha ghoomne jaane se pehle pooch lu@BDUTT @ChouhanShivraj,"@DrShobha Maam weather is good. so, i thought that before @BDUTT @ChouhanShivraj"
Mujhe 'wanna date' walon se matlab hai bas.,i am only concerned with the 'wanna date' ones
.@narendramodi sir kal meri Dilli wali train chhoot gayee thi raat ko.. Nahi to aapke bagal wali window seat pe baitha hota abhi,.@narendramodi sir yesterday night i missed my train to delhi.. otherwise i'd be sitting on thewindow seat beside you
@NotThatMP iski jaanch honi chahiye,@NotThatMP he should be searched
l @AshwinPaddy mai is naam par pehle bhi objection kar chukan hun. is naam se meri book ek saal pehle aayi thi...aapke writer ne kaha tha...,i @AshwinPaddy have objection on the name. my book was published with this name one year before..your writer told me. 
@krazyfrog bhai sahab aap gaadi side main lagao. Aapka chalaan hoga.,@krazyfrog brother park your car aside. otherwise you will be charged.
@Atheist_Krishna haha.. Thande paranthe khaaye honge.. Ab garam kar raha hai ,)
@imsatyam15 @AnjuNagarajan @narendramodi Bahot sahi vichar aur ye bat Atalji ne bhi kahi thi .,"@imsatyam15 @AnjuNagarajan @narendramodi very good thought, this was said by atal sir as well"
"Bhai accident dubara toh ni kr dya,jo ab tk ni aaye,aa b jao sir","you haven't done the accident again right, brother, that you haven't come till now. atleast come sir."
yrr koi btaega ki rechecking ka result kaise dekhu . .,can anyone tell me how to see the results of rechecking
@Barbiedawra @Rinkkyy hiii dear #MahaShivratri enjoy ur day yssss same mene bhi kaha rinkuu ne bahot din baaad tweet kiya hamko,@Barbiedawra @Rinkkyy hi dear #MahaShivratri enjoy ur day. yes i also said that rinku tweeted after a lot of days.
"Ik kuddi Jidda naam @indiantweeter hai.. gum hai, tull hai tull haipic.twitter.com/9W9NMnhNgj","one girl whose name is @indiantweeter is lost, is drunk pic.twitter.com/9W9NMnhNgj"
"sach hai bhai, sau pratishat","it is a truth bro, hundred persent"
sbse gnda kaam .  .  . staff room k gate p khde hote hi sb teachers ki nazar idhar .  .  . abey kisse puchu may i come in !  !  !  :p,"the most repulsive work- standing at the door of the staff room, being watched by all the teachers and thinking that whom to ask permission to enter."
"Hum Tum ek kamre mein bandh ho aur chaabi kho jaaye.

Bhai, kamra andar se bandh hoga toh chaabi ki kya zaroorat? Kya lena dena?",i and get locked inside a room and it's locks key gets lost brother if the door is locked from inside then what is the requiremet of key?
ofcourse salman isme sochna kaisa..,ofcourse salman what to think in this.
@KaminiBae @PAYBACKIndia bachcho ko technology se door rakhne ka #PointKyaHai Point Kya Hai,@KaminiBae @PAYBACKIndia what is the point of keeping kids away from technology? #PointKyaHai
@akshaykanitkar LOL bhai ko 6 peg pi lene do @BeingSalmanKhan,@akshaykantikar lol let him drink 6 pegs @beingsalmankhan
4 baj gaye.....par party aabhi Baaki he....sallu bhai,"it's 4 o'clock, but the party is still not over, mr. sallu."
"Indian parents after watching Mohit Sharma's performance "" Dekho Sharma ji ke bete ko , kuch seekho "" #IndvsSA #SAvsIND #IndiaVsSouthAfrica","Indian parents after watching Mohit Sharma's performance "" See, Learn something from Sharmaji's son"" #IndvsSA #SAvsIND #IndiaVsSouthAfrica"
"@MehekMahtani Jay BajrangBali.. Tod de dushman ki nali.. I agree with you, Hanumaan is awesome The Ultimate Mahabali #InvincibleHanumaan","@MehekMahtani Jay BajrangBali. Break the enemy's windpipe. I agree with you, Hanumaan is awesome The Ultimate Mahabali #InvincibleHanumaan"
yaar guddu bade confidence se answer diya :) :) :) :d :d :d :d,bro guddu answeres with great confidence :) :) :) :d :d :d :d
@c_aashish @sambha_bhilane chhat(rooftop) wala nahi count hai. Chhat par joh khelte hain,@ Sashish @ sambha_ is not a rooftop count. Play on the roof
"Raja ko rani se pyar hogaya, pehli nazar mein bawla bekaar hogaya.",Raja has fell in love with Rani. he has demented at the first sight.
* Kohli and Dhawan crying * Dhoni : Kya hua ? Kohli : Yaar we just asked Raina's saalis to return shoes . They said #WontGiveItBack,* kohli and dhawan are crying * dhoni : what happened? kohli : dear we just asked raina's sister in laws to return the shoes. they said #WontGiveItBack
@iMademoiselle arre yaar. Hindi achhi Hi hai,"@iMademoiselle hey buddy, hindi is good only."
Cum-lee hogayi tere bina aa ranjhan mere.,"I have gone crazy without you, come my beloved."
boss yaar chutti do :),Boss man leave :)
.@SrBachchan  Sir @NSaina ne french cut rakh li kya. Pehchan me hi nahi aa rahi.,".@SrBachchan sir, has @Nsaina kept a french cut? she is not looking familiar."
Lakin Batting Karne Ni Aaya ...,but i didn't got batting
@bruiselee jao pehle us aadmi ka sign lekar aao,@bruiselee first go and bring that person’s signature
"""Jab tak Congress ki Lok Sabha me 2 seete reh jaengi tab tak speech deta rahunga..""pic.twitter.com/BM7WNvybUF","""as long as there are 2 seats in the lok sabha of the congress, i will keep giving the speech .."" pic.twitter.com/BM7WNvybUF"
@YearOfRat Done hai! Saturday shaam ka rakhte hai,@YearOfRat its fixed then. lets keep it saturday night
"Haath aate hi nikal jaane wali cheez:
- Salary
- Jawani
- GF","things which slip out of the hand:-Salary, Youth, GF"
"@Alllahdin Digvijay, Ashutosh, Sanjay, Joy plenty of names.","@Alllahdin Digvijay, Ashutosh, Sanjay, Joy. plenty of names."
@iamsrk_vraj Haan ajkal main raat ko hi office jata hoon .. kaam bhi zyada nhi hota to sukun ke din guzar rha hun .. :P,@iamsrk_vraj yes now a days i am going to office only at night .. work is not much so i am having relaxed days
Mitroon ! Aaj Rat 12 baje se #Bitcoin ka leagal tender amaanya hoga !,friends! from 12 tonight #Bitcoin will be invalid as legal tender!
@nainkatary aadhi shakal hi aisi hai tumhari,@nainkatary half of your face is just like this
"Jal bin machhli, nritya bin bijli.https://twitter.com/Oinkoo/status/597801927804456960 …","Fish without water, lightning without dance. https://twitter.com/Oinkoo/status/597801927804456960 …"
burger &amp, blonde friday today @someUSER crows nest $2 . 00 pure blonde with any burger purchase !
shhh.. Pata nahi hai kisi ko ,)
@slimswamy Ya toh too smart joke maar dete ho ya too lame. Thoda salman khan jokes maar dete abhi festival aya tha 2 din ka.,"@slimswamy Either they say too smart joke or too lame joke. You sould have made some jokes on salman too, a two day festival just passed by"
@dashhtweets 1-2 saal pehle maine hi bataya tha,@dashhtweets i told them 1-2 years back
Milte hain iske results ke sath kal rat 10 baje. #SRK4ever #BhaiRoxx,will meet with his results tomorrow night at 10. #SRK4ever #BhaiRoxx
@karachikhatmal @Nicks103 saha b akmal bretheraan hai . Dil kre toh acha khel liya varna sab ko saath lekar doobta hai,@karachikhatmal @Nicks103 saha b akmal is a brethren . if it feels like playing good then he plays else takes the whole team in water
ye sirf diplomatic hogi bhai. Likh le,It will be diplomatic only brother. Write down
see expression of shaan n amit ji .  .  .  .  . :-d,see expression of shaan and  respected amit  
@Fussy_Ca haan tab Pradhan Mantri Rahat Kosh me jama kara dunga,@Fussy_ca yes then i will give it to the prime minister relief fund.
by god ye wala to super dhaansu gag banaya hai faisal bhai .  .  .  .  .  .  kasam se,"i swear, you have made a super dashing gag, faisal brother"
@Ojasism tu bhi tha 2013 me?,@Ojasism you were also there in 2013?
"bhai ,  cover up kartey samay pichey ka fens kahan gaya ? ","brother, where have back side fens gone while covering up?"
#Manhattan #NewYorkCity #NewYork #Trump #USA,#Manhattan #NewYorkcity #NewYork #Trump #Usa
#OmNamahShivay Wish you all a very happy #MahaShivratri #Shivratri ki bohot bohot badhaai aap sabko http://t.co/GufQ5n1cx1,#OmNamahShivay Wish you all a very happy #MahaShivratri #Shivratri congratulations to you all http://t.co/GufQ5n1cx1
"mujhe tumpe bharosa hai. Tum google karke link de do. ""Billions"" word chahiye. ek ghanta hai tumhare paas","I trust in you, you send me a link after googling, it should have the word 'Billions', you have one hour"
@hitlerbai na janmo ka ho bandhan,@hitlerbai May our bond last 9 lives
Pehle Seeta mata ko le gaye aur ab match. Kaise begairath padosi hain yaar!,First they took away seeta and now match. how cheap neighbours we have
Kya ese vote milenge Hinduon ke ?,is this how you get votes of the hindus?
agar ne is class me hoti to kissi b boy ko top na karnr deti .  .  .  isme b toper me hi hoti .  .  .  .  :d,"if she had been in this class, she would not have toped any boy. . . it used to be  topper only. "
@pranavsapra hahaha hardd hai yaar,@pranavsapra hahaha it's hard man
@ibnlive haha @ArvindKejriwal bhai tu KRK se bhi bada wala hai,"@ibnlive haha @ArvindKejriwal man, you are even bigger than krk"
@Insane_chorri mujhe kya pata? main to innocent hoon.,@Insane_chorri what would i know? i am innocent.
"@HiighBeta
 Chal ghoomne mere saath.. In my car..
 Tera pyaar pyaar pyaar hukka baar @Insane_chorri","@HiighBeta
let's go together strolling. In my car..
You love @Insane_chorri"
kya koi janta hai k  .  .  .  .  .  soniya italy mai bar dancer thi  .  .  aaj desh chala rahi hai  .  .  wtf,does anyone know..sonia was a bar dancer in italy..today she's running a country
"Jitna #Padmavaat k liye Halla Kar rahe Hai Utna hi Agar ""corruption rape aur desh k baki problems k khikaf awaz uthaye toh desh ko fayda hoga!","the chaos they are making for #Padmavaat, if they make at least the same for corruption, rape and, other problems of this country, then the country definitly would have benifited from it."
"pet kharab hai bhai, aap khao! :-D","My stomach is in a bad condition, you eat!"
"@Alllahdin sab samajta hu main, pyar mein kabhi kabhi aisa ho jata hai","@Alllahdin i will explain you everything, sometimes this happens in love.."
".@mahnoor aap farishte hain, aap se galti ho hi nahi sakti.","@mahnoor you are god, you can't possibly make any mistakes"
Naa bus mein nahi tha main :),"no, i was not in the bus :)"
hum logo ko to sirf eid par 20 rupaye milte the ...:p n rest of d year ...2 athanniya ..:(,"we used to get only 20 ruppees on eid, and rest of the year, 2 pennies!"
Sab ladkiyo se flirt karegi to aisa hi hoga bhaihttps://twitter.com/Miss_Ankiita/status/659984691898875906 …,if you flirt with all girls then this will always happen bro https://twitter.com/Miss_Ankiita/status/659984691898875906 …
"@Alllahdin aajkal sabkuch fake hogaya hai, kabhi kabhi khudke existence par bhi doubt hota hai, sach ki life hai ya parody :'(","@Alllahdin aajkal eery things have become fake, somethimes i even doubt on my own's existance, is it true or parody?"
Big brother party de or ye chota bhai party me nhi aae aase ho skta hai kya kbhi #Salu bhai(bajrangi bhaijan),big brother gives a paty and little brother doesn't come how can that ever happen#Salu brother(bajrangi bhaijan)
Thanks sir.. kya haal chaal?,thanks sir. what’s up?
guddu tumhara hi school aisa hoga yaar .  mera school n mere teacher to ache h .,"guddu, only your school would as such, friend. my school and teachers are nice."
@someUSER november 4th at constitution hall &amp, idk i guess she's out lolol http/URL
Besharmi ki hadd hoti hai!! Mahilaon ke naam pe dukaan chalane wale abhi #tripletalaq ko support kar rahe hain. Sharia bhi koi cheez h by God!,There is limit to shamelessness! Those who run shop on name of womens are now supporting #tripletalaq. sharia is also some thing by God!
@premlata_rai @Atheist_Krishna sharm ni aati tujhe? Sha,@premlata_rai @Atheist_Krishna aren't you ashamed of youselves? 
"tere paas ek week se phone aaya hai, tune 20-25 themes to daal di hai","you have had the phone for one week, you'd have put 20-25 themes on already"
@Phrustated thanks bhai :),@Phrustated thanks brother.
@vakeel_saheba sab bhagwan ki marzi hai,@vakeel_saheba Everything is God's will.
kachua sir angrezi bolta hai kyaa :p,sir does tortoise speak english
@7UPIndia Ye Meri Super Car.. Dekho Baar Baar #ChatpatakaTwist,@7UPIndia this is my super car...watch it again and again #ChatpatakaTwist
@GugziiBugzii Hahahah. Ye baat bhi theek hai,@GugziiBugzii  Hahahah. This is also correct.
"Khud ba khud radicalize ho gaya, bas baithe baithe",it got radicalized automatically.
"here i am procrastinating at my work desk reading iibt confessions  ,  as usual  .  .  .  oh wait  .  .  .  i didn't even go to iitb  !  - thank you for your entertainment  !  ! ","here i am procrastinating at my work desk reading iit bombay confessions ,  as usual. oh wait , didn't even go to iit bombay !  - thank you for your entertainment  !  "
"@FaslaRakhein dad office k kaam me phasay hue hen .. 9 , 9.30 tak aa jae ge ... ðŸ˜’ðŸ˜’ Yaha wait hi nai ho raha .. ðŸ˜’ðŸ˜’ðŸ˜•",@FaslaRakhein dad is stuck in office work .. will be back by 9 to 9.30... ðŸ˜’ðŸ˜’ no one is waiting here .. ðŸ˜’ðŸ˜’ðŸ˜•
"Soya tha yaar, bahar nikal ke call karta hu","Slept friend, I call outside"
RT @I_Love_U_SRK : @iamSRKFanLJ mai bahut accha hu .. dont u worry ,) Aankhon mein kuchh aansu hain kuchh sapne hain Aansu aur sapne donon Ã¢â‚¬Â¦
Holi kab hai ?? Kab hai Holi ?? #HolyShitpic.twitter.com/yn3ubLPJ2F,"holi, when it is? when is holi? #HolyShitpic.twitter.com/yn3ubLPJ2F"
guddu yar tu shaadi kab kar raha hai ??mere gharwalo ne ladka dekhna start kr dia h n im so much in love wid u :p,"guddu,  when will you get married??my perents have started searching a guy for me andi am in love with you so much."
Sardaar Gabbar Singh || Power Star Pawan Kalyan || Sankranthi Special Te ... https://t.co/T2zPT1qlic via @YouTube,Sardaar Gabbar Singh || Power Star Pawan Kalyan || Sankranthi Special Te ... https://t.co/T2zPT1qlic via @YouTube
.@JhaSanjay bhai tera bhi Vodafone ??,@JhaSanjay you also have vodafone ?
"main aur tum, aksar un diwane haathiyon ki tarah bhidte rahte hain jo shakhon se utarkar jhumte hai *insert austria* @bhak_sala",Me and you often fight like those crazy elephants who bounce around after down from the branches *insert austria @bhak sala
ye gana send kiya kyu ? Kisake liye ? Nahi batana #RightToPrivacy,Why sent this song? For whom? Not telling #RightToPrivacy
maa ka koi todd nahi ho sakta :-),there's no alternative for mother
"Badi begairat "" jumlebaj hai government",government just says things but in real it does not does the work
@Atheist_Krishna Ye le Hand grenade sambhalpic.twitter.com/vJNL3jSFc7,@Atheist_Krishna take this hand grenade sambhalpic.twitter.com/vJNL3jSFc7
Ye dekho Sharma ji ka launda.. Videsh me PM ban gaya..https://twitter.com/IndiaTodayFLASH/status/649605553929371648 …,"look at this, sharmaji's son became PM in foreign https://twitter.com/IndiaTodayFLASH/status/649605553929371648 …"
Aaj 1 taarik hai.. ab tak petrol diesel ka price nahi badaya govt ne ?,today is 1 government didn't increased price on petrol diesel?
@Itsmy_rule nahi hai bhai birthday,"@Itsmy_rule no brother, it's not my birthday"
"ek din ke liye, bas?",just for one day?
Aaj kis cheez par outrage karu? Bahot jor se outrage lagi hai.,what topic should i outrage on today? i have a very strong urge to outrage
who else is excited to see the boys on startalk tomorrow ? ? ?,who else is excited to see the boys on startalk tomorrow ?
salman khan to ghode bech ke sogaye hoge. aur yahan machi market banare sab . sojao salman ke deewano,"salman khan slept deeply and here is making fish market, go sleep all salman khan fans"
tuko left out feel ho raha hai kya? tumko bhi stalk kar lunga main. Bas haan bol do ek baar.,are you feeling left out? i can stalk you also just say yes once. 
"Modi: Humein India ko strong banana hai. Kejri: Pehle khud ko strong banana hoga. RaGa: Doodh me Horlicks milao, doodh ki shakti badhao.","modi: we need to make india strong. kejriwal: first, you need to make yourself strong."
sega ki cassette sirf sega mein hi lagti hai .  .  . lolz,sega's cassette only plays in sega. . lolz
@RootKanal uske baare main kuch nahi bolne ka,@Rutknall to say nothing about it
#Verdict 2017 dekh ke #trump bhi sadme me ..,"#Verdict 2017 look at this, even #trump is shocked .."
"RT @DOCTORATLARGE : Reason I hate Kejriwal the most : Other politicians are devils pretending to be people , while Kejriwal is a devil pretend","retweet @DOCTORATLARGE : reason i hate kejriwal the most: other politicians are devils pretending to be people, while kejriwal is a devil pretend."
yaar main kahan dikh gaya tujhe ismein? LOL,Where was I seen in this picture friend? LOL.
"Friday night hai, beer piyo apne aansoo nahi.","this is friday night, drink beer, do not drink tear."
RT @gilliauna : HOLIDAY SALE French Locket Necklace . Eiffel Tower Necklace with Coral Teardrop and Pearl . https://t.co/9cTDZvK2sQ https://,retweet @gilliauna : holiday sale french locket necklace . eiffel tower necklace with coral teardrop and pearl . https://t.co/9cTDZvK2sQ https://
"Subah se 3:30 ka wait kar rahe hai, aapne 4pm bhi ho gaye.. Ab toh aa jao aap plz plz","from morning we are waiting for 3:30pm, its 4pm now. please come now."
"@retardedwriter LOL. Haan bhai tu ghar par jaakar so jaana, thakka huwa hoga :-P","@retardedwriter laughing out loud. yes brother you go home and sleep, you must be tired"
aur @TweetErrant ko le aaja. @retardedwriter,take @TweetErrant someone else back@retardedwriter
"Ulli ki patthi, uski neend azaan se kharab hui thi Gurbani se nahi, aur phir bhi usne mandiron ke khilaf bhi bolapic.twitter.com/KfYh8FAEBJ","fool, her sleep was disturbed because of azaannot by gurbani, then also she spoke against temples.pic.twitter.com/KfYh8FAEBJ"
Ye chu bhi maan gaya baaki teeno sahi hai  https://twitter.com/ColdCigar/status/674473813845737472 …,this guy also agreed that rest of the three are right https://twitter.com/ColdCigar/status/674473813845737472 …
i love u vaii.khuda hamesha apki saath rahegi vaii,i love you vaii. the lord will always be with you vaii.
@PMOIndia Sir Pranam! #GST is indeed a landmark par kripya chamcho se kahein yeh sab na karein. 2019 mein sabsey bada Opposition yehi hai :),"@Pmindia sir greetings! #Gst on this is indeed a landmark, please tell flatters not to speak. This is the biggest option in 2019 :)"
ye dono baap bete corrupt hai  .  .  .  !  !,"Both of these fathers are sons, Corrupt. . . ! !"
